nbProduits = 10;
 nbClients = 30;
 capaProd = [ 80 , 60 , 30 , 50 , 30 , 30 , 60 , 20 , 20 , 30 ];
 capaCrossdock = 1000;
 demande = [
   [  26 ,  13 ,  34 ,  43 ,   0 ,  34 ,   0 ,   9 ,   0 ,  40 ,  44 ,   0 ,   0 ,   0 ,   0 ,   0 ,  30 ,  31 ,   0 ,  30 ,   0 ,  30 ,  12 ,   0 ,  24 ,  25 ,   0 ,   0 ,  25 ,   0 ] ,
   [   0 ,   0 ,  47 ,  49 ,   0 ,  31 ,  15 ,  16 ,  13 ,  16 ,  19 ,   0 ,   0 ,  19 ,   0 ,  12 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,  10 ,   0 ,   0 ,   0 ,  12 ,   0 ,   0 ] ,
   [   4 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,  26 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,  19 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,  17 ,  31 ] ,
   [   0 ,   0 ,  18 ,   0 ,   0 ,  19 ,   0 ,   0 ,  17 ,   7 ,   0 ,  40 ,   0 ,   0 ,   0 ,  14 ,   6 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   8 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ] ,
   [   0 ,   4 ,   0 ,   0 ,   0 ,   0 ,  32 ,   5 ,   0 ,   0 ,   0 ,  20 ,   0 ,   0 ,   4 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   6 ,   6 ] ,
   [   7 ,  13 ,   0 ,   0 ,   0 ,   9 ,   0 ,   0 ,   0 ,   0 ,  13 ,  17 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,  15 ,   5 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,  12 ,   0 ] ,
   [   0 ,  34 ,  20 ,  12 ,  12 ,   0 ,   0 ,  39 ,   0 ,   0 ,  28 ,   0 ,   9 ,   0 ,  62 ,   4 ,  14 ,   9 ,  12 ,   0 ,  14 ,  15 ,   0 ,  13 ,  34 ,   0 ,   0 ,   5 ,  35 ,   0 ] ,
   [   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,  12 ,   0 ,   0 ,  21 ,   0 ,   0 ,   0 ,   0 ,   6 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   5 ,  29 ,  18 ] ,
   [   0 ,   0 ,   0 ,  12 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ] ,
   [   8 ,   0 ,  16 ,   0 ,  21 ,  19 ,   8 ,   0 ,   0 ,   0 ,  24 ,   0 ,   6 ,   0 ,   0 ,   6 ,  17 ,   0 ,   0 ,  24 ,   0 ,  21 ,   5 ,   0 ,   0 ,   0 ,   8 ,   0 ,   0 ,  24 ]
 ];
 a = [  4 ,  3 ,  5 ,  4 ,  2 ,  3 ,  4 ,  5 ,  2 ,  4 ,  4 ,  5 ,  1 ,  7 ,  3 ,  5 ,  5 ,  5 ,  2 ,  4 ,  1 ,  3 ,  4 ,  4 ,  5 ,  1 ,  7 ,  1 ,  5 ,  4 ];
 b = [  8 ,  7 ,  9 ,  9 , 11 , 10 ,  7 ,  8 , 11 ,  7 ,  9 ,  8 ,  7 ,  7 , 10 ,  8 ,  8 , 10 ,  3 ,  7 , 11 , 10 , 10 ,  7 ,  9 , 10 , 10 , 10 ,  8 , 10 ];
 penalite = [ 10.6 , 5.4 , 26.2 , 24.1 , 8.8 , 12.1 , 16.0 , 3.8 , 4.2 , 21.4 , 25.4 , 2.9 , 21.7 , 7.3 , 16.1 , 25.4 , 11.3 , 13.2 , 28.0 , 25.8 , 27.8 , 7.1 , 15.2 , 18.1 , 27.8 , 7.7 , 10.9 , 22.1 , 5.7 , 8.7 ];
 coutStockUsine = [ 2.6 , 1.4 , 0.6 , 2.6 , 2.2 , 3.3 , 1.1 , 1.8 , 2.9 , 2.9 ];
 coutCamionUsine = [ 380.0 , 800.0 , 870.0 , 900.0 , 210.0 , 210.0 , 810.0 , 150.0 , 300.0 , 470.0 ];
 coutCamionClient = [ 710.0 , 530.0 , 250.0 , 530.0 , 950.0 , 310.0 , 800.0 , 720.0 , 450.0 , 490.0 , 1050.0 , 980.0 , 570.0 , 1050.0 , 1070.0 , 640.0 , 190.0 , 270.0 , 100.0 , 570.0 , 400.0 , 80.0 , 1060.0 , 110.0 , 200.0 , 680.0 , 1010.0 , 490.0 , 600.0 , 660.0 ];
